피땀흘려가며 되찾은 우리 대한민국,"중꿔한테 잠식당하게 생겼다


1. 국적법 개정 반대
법무부가 국적법 개정한다는데 대상자 95%가 중국인임. 투표권 뿐만 아니라 모든 부분에서 자국민과 같은 권리를 누릴 수 있게됨- 복수 국적 인정 + 대선투표권 + 공직자 가능 + 국적포기 가능 -
지금 국내 토지 거의다 중국인들이 매입하고 있어 이러다간 먹혀
전국민이 우리나라 지켜야해 (꾸욱 눌러서 반대의견 제출해주라)
국민참여입법센터 (lawmaking.go.kr)
국적법 개정 국민청원 https://www1.president.go.kr/petitions/597991

2. 강원도 정동진 차이나드림시티 반대
강원도 정동진에도 차이나 드림시티 추진한대. 이것도 공산당이 개입하고 ( 이미 토지 매입 ) 무엇보다 근처에 우리 군부대가 있어. 계속해서 군부대 주변에도 차이나타운이 들어서고 있는데 이게 우연일까? 정말 심각하다고 생각함. 이미 우리나라에 차이나타운 30개 이상이나 있고 대림동도 조선족한테 먹힌지 오래임. 정동진 포함해서 앞으로 차이나타운은 일절 막아야해 청원+공유 부탁해
(꾸욱 눌러서 청원해줘)
강원도 정동진 차이나타운 건설을 막아주세요 > 대한민국 청와대 (president.go.kr)
https://www1.president.go.kr/petitions/598133","['근데 중국한테 이미 많이 잠식당한듯 많은 정ㅊ인들이 알고 있으면서 침묵함', '그럼 청원 한번만 도와주라', '미세먼지부터 시작해서 중국인 부동산 매매도 그렇고 세종 스마트시티나 태양광 원자재, 중국인 댓글부대도 그렇고', '난 이미 했지']"
중국,만세!!!!,"['착짱..', '타이완 남바원']"
중국이 최근 얼마나 성장했는지에 관한 책을 읽었는데,"진짜 무서울 정도로 성장했구나 느꼈어
경제 제국주의가 시작되는걸까...","['13억 너무 강력하다;;', '그래서 신냉전이 오고 있는거잖아', '무슨 책인지 알려줄 수 있으실까요.?!', '예정된 전쟁이라는 책이에용', '감사합니다 ㅎㅎ']"
ㄷㄷ 방금 중국에서 네이버 로그인됐다고 알림옴,"직접 당하니까 소름이네.
비번 바꾸고 해외로그인 차단했다.

이렇게 해킹한 아이디로 중국빠는댓글 달고 여론조작하고 하는거구나","['나도 해외로그인 차단해놓음 끔찍하다', '중화인민공화국 ㅅㅂ 짱깨 존나 토쏠려..']"
애드라 강원도 차이나타운 반대청원 동의하자,"우리나라 역사가 남아있는 유적지에 중국 관광객들을 위해 차이나타운을 만들겠대....ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ이거 진짜 아닌거 같아ㅠㅠㅠㅠㅠ

https://www1.president.go.kr/petitions/597240",[]
미세먼지 504 ppm 뭔데,진짜 중국 수준의 수친데,"['와 이쪽도 394라 엄청나다고 생각했는데 더 심한 곳이 있네...', '900인 곳도 있다는거...', '미쳣다....']"
중국의 유머,펌글임,"['왜 요즘 여기저기서 중국이 보이지', '치워라 관심없다', '착짱', '그래서 짱개는 다 죽었다는 얘기임?', '중국어 해석이나 해주지 중국인만 재밋겟네', '치워']"
ㅁㅊ;; 항상 중국인들 침범엔 누가 있는지 앎??,"YG임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이번에 간떨어지는 동거도 중국 자본이 거의 다임 ㅋㅋㅋㅋㅋㅋㅋ
중국 논란되는거 다 제작사가 YG야 진짜 미친고 아님?ㅋㅋㅋ나라까지 팔아먹고싶나","['이상하다 중국에선 약 팔면 사형인데 어케 아직 살아있지?', '솔직히 몇년전까지는 나라팔아먹는다는 단어가 안와닿았거든?? 근데 요즘 느낌.. 진짜 나라 팔아먹고싶어하는 놈들이 넘친다는거...']"
환경학과 학생으로써,중국을 안 싫어할 수가 없다 하,"['나도 별로.. -지나가던 중통-', '사실 앞에 빼도 별로긴 해', '할무니~ 책 읽어주세요~', '헐 할머니....ㅠㅜㅜ 중국발 미세먼지가 눈에 들어갔나봐요!!!']"
어이털림,"나 중통임. 바이두에서 검색할 게 있어서 앱 켰는데 임효준 기사가 딱 대놓고 나오더라고?

보나마나 한국 깔보는 기사겠지만 아무 생각 없이 눌러서 댓글 보다가 대충 이런 내용의 댓글 발견함.

중국인이 한국인으로 귀화하는 건 쉬운데, 한국인이 중국인으로 귀화하는 건 어려움. 왜인줄 암? 중국 귀화 조건은 까다로움. 귀화하기 쉬웠다간 한국인들 너도나도 하면서 중국으로 올테니까.

순간 어이가 없어서 그냥 꺼버리느라 이미지 캡처는 못하긴 했는데... 뭐 아무리 인터넷이 검열되는 사회라지만 그런거랑 별개로 저건 그냥 또라이잖아ㅋㅋㅋㅋ근데 좋아요 엄청 받았드라.

도대체 중국인들이 생각하는 외국에서의 중국은 어떤 모습인거임ㅋㅋㅋㅋㅋ? 이건 뭐 '일본 대단해'급 아님ㅋㅋㅋㅋㅋ? 도대체 왜 저딴 나라들 사이에 껴서는...","['ㅅㅂ... 거울치료아니노', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사회주의 가기싫은데..', '아닠ㅋㅋㅋ도대체 중국으로 귀화하고 싶어하는 한국인이 얼마나 될 거라고 생각하는 걸까. 우리는 공산당 눈치봐야 되는 그런 상황 드럽게 싫어요;;; 뭐만 하면 자국민들 잡아다가 코렁탕 전기구이 만드는데ㅋㅋㅋㅋ', '와 잘한다중국어..', '읭 그런가...', '한국 귀화하는 게 쉽나?? 까다롭다고 알고 있었는데 ㅋㅋㅋㅋ', '영주권은 쉬움', '귀화는 앵간히 막나가는 곳 아니면 다 까다로울 걸? 근데 중국은 까다로운게 아니라 인구 수가 감당이 안돼서 귀화 안 받는 거라고 나는 생각하는데ㅋㅋㅋㅋㅋㅋㅋ...참 대단한 애들이야.', '한국은 쉬운편이긴 함 근데 애초에 한국 사람 중에 중국 가보고 싶다는 사람은 있어도 중국에서 살고싶은 사람 있냐?ㅋㅋㅋㅋㅋㅋㅋ돈줘도 안가지 한국에서 살고싶다고 하지 전세계가 중국인이면 거부감 갖고 대하는데 그것도 모르고 쟤네 민족 단체로 도끼병 걸린게 개웃기네', 'ㅋㅋㅋㅋ원래 그래.. 자기들 똑똑하구 대단한줄알아..', '다들 자기네들 부러워하는 줄 아나봐....', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ중국 애들 개그 좀 치네?', 'ㅋㅋㅋㅋㅋㅋ배꼽킬러임', '중국인은 고갤 들어 천안문을 봐라', 'ㅋㅋㅋㅋㅋㅋㅋㅋ하...저런 것도 인류라고 봐야되나... 전국적으로 코로나랑 능지 바이러스가 퍼진 게 분명함', '중통인 애들한테 미안한 말이지만 걍 요즘 길거리에서 중국어만 들리면 걍 그 중국인 뚝배기 후려치고싶음.. 알바할때 중국인 가끔 오는데 왜 외국에 왔는데 주문할때 중국어를 쓰는걸까 그렇게 중국어 쓰고싶으면 즈그들 나라로 꺼진던가 ;;;', '나도 호텔에서 근무할 때 중국인들 영어 쓰는 거 들어본적 없음ㅋㅋㅋㅋ 중국어 가능 인원이 있어서 그런 것도 있긴 한데 해당 인원이 있든 없든 그냥 영어를 쓸 생각을 안함. 너는 어떻게 해? 중국어로 주문하면? 나같으면 중국어 모른다고 하고 막무가내로 나갈 거 같은데. 어차피 클레임도 못 걸거 아님ㅋㅋㅋ', '진짜 완전 공감이다 ㅋㅋㅋㅋㅋ 심지어 해외여행 갓을때도 나한테 중국어로 막 말하더라ㅋㅋㅋ영어 아님 한국어로 하라니까 그제서야 영어로 길 물어봄;;;', '솔직히 우리과 중 중국 좋아하는 애들 없을걸? 있으면 별종인거고.', '중통이 중국 더 싫어할듯 ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ', '한국인 귀화 개어려움 여자 그니까 한국인아이가 있는 외국인여성이 아니면 어렵다함 그 현한국인 전터키인 알파고영상 유튭에 쳐보면 자세히 나와있음 귀화시험 문제 한국인도 통과하기 어려움', '조선족은 귀화 쉽지 않음?', '조선족은 조선족이니까 쉬운거고...', '근데 중국인이 한국 귀화하기 쉬운건 사실임. 그냥 사실만 놓고 봤을땐 쟤들말이 맞을수도? 귀화하고 싶은 국가를 떠나서', '일단 댓쓴이 말이 옳고 아니고를 떠나서 요는 귀화 난이도가 아니라 한국인(내지는 다른 나라 사람들이) 중국으로 전부 귀화할 거라는 얘기잖아...', '짱깨들은 지들이 최곤줄 알잖아 중화사상ㅋㅋ 그래봤자 이제 코로나 보유국 이미지에서 못벗어남', '에효ㅠ임효준 짱개 다됐네', '착짱죽짱', '중국 줘도 안가져...', 'ㅅㅂ 나도 알바할때 거스름돈 분명 거슬러뒀는데 500원 안거슬러 줬다고 존나 박박 우기던 중국인땜에 걍 중국인들 싫어짐 나도 중국어가 전공이지만 요즘 중국인들 하는거 보면 전공에 대한 애정도 뚝뚝 떨어짐', 'ㅁㅊ 어떻게 됐어? cctv 돌렸음?', '아니 그냥 옆에 있던 사장님이 넌덜머리 난다고 500원 걍 줘버리고 보내라고해서 마무리 됨 근데 아직도 생각하면 개빡쳐 영어로 말하려고 노력도 안하고 중국어로만 우기는게 ㅈㄴ 싫어']"
쇼트트랙 선수 임효준 선수가,"중국국적으로 귀하했다는 보도가 나왔습니다.

평창동계올림픽 금메달리스트인 그는
현재 재판 중임에도 불구하고 중국국적을 취득했다는 사실이 MBC 취재 결과 확인됐다고 합니다.

재판이 무죄 판결 날 시에 중국 대표로 베이징 올림픽에 출전할 가능성이 상당히 높다고 합니다.

+ 물론 유죄판결이 나면 이 또한 무산될 가능성이 높다고 합니다~
재판 결과를 기다려봐야겠네요.

+ 첫 재판에서는 유죄, 두번째 재판에서는 무죄판결이 난 걸로 알고 있습니다. 마지막 판결만 남아있는 상황입니다.

https://youtu.be/AOuQkwKrlZE

위 영상을 많이 참고해서 글 쓴 겁니다!!!!
모르시는 분도 많으신 것 같고
스포츠에 관심 있으신 분들은 아셔야 할 사실 같아서
이 게시판에 올립니다.

문제 될 시에 삭제하겠습니다~","['중국......', '봤는데 좀 약았다고 생각했음 ㅠ 잘못했으면 반성하면서 살아야 되는데 계속 스케이트 타고 싶어서 귀화한 걸로 보이고 또 그게 요즘 좀 문제인 중국이라니... 금메달 땄을 때 좋아했는데 좀 아닌 것 같음', '근데 대회 나가려고 국적을 진짜 바꾼거임...? 올림픽 끝나고도 계속 중국인이고 중국선수 하려는건가 ㅁㅊ 으으', '귀화하는 체육인들 솔직히 좋게 안보임. 지들욕심채우러가는거잖아. 매국노랑 다를바가 없음']"
